animal,raw_conc,tissue_weight,body_wt,dose,stage,tissue
1M,56.5895,20.1,27.2,20.55,male,cortex
2M,22.0798,10.3,30.1,18.57,male,cortex
3M,36.7582,13.7,28.7,19.48,male,cortex
4M,49.5114,15.1,25.8,21.67,male,cortex
5M,87.4161,31.4,26.1,20.00,male,cortex
6M,36.596,14.7,27.3,19.12,male,cortex
7M,41.673,14.3,26.2,19.92,male,cortex
8M,62.896,20.8,23.7,22.03,male,cortex
9M,35.5456,15.7,27.2,19.19,male,cortex
1F,43.5887,20.5,22,19.09,highE,cortex
3F,32.3785,15,19.9,21.10,lowE,cortex
5F,19.3532,17.6,19.9,21.31,highE,cortex
6F,26.3844,10.1,21.4,19.81,lowE,cortex
7F,35.2902,15.2,23.2,18.28,highE,cortex
8F,88.8275,41.3,20.2,20.99,lowE,cortex
11F,20.2764,4,20.6,19.81,highE,cortex
12F,28.8012,14.7,22.3,19.10,highE,cortex
13F,26.7006,3.6,19.3,22.07,highE,cortex
14F,36.0702,19.6,22.1,19.28,highE,cortex
15F,39.9838,18.3,21.1,20.19,highE,cortex
16F,20.5701,10.9,21.6,19.72,highE,cortex
18F,116.927,43.7,21.3,20.38,highE,cortex
19F,15.7652,14.6,22.9,18.95,highE,cortex
20F,40.6623,11,20.9,20.77,highE,cortex
21F,43.5806,15.2,20.4,21.27,highE,cortex
22F,64.0701,32.2,23.2,18.71,highE,cortex
24F,57.2307,16.8,21.2,20.47,highE,cortex
25F,25.7378,9.5,20.3,21.38,highE,cortex
26F,23.9826,10.8,21.7,20.00,highE,cortex
27F,42.9962,18.1,21.1,19.34,lowE,cortex
28F,32.976,9.3,19.6,20.82,lowE,cortex
29F,22.0195,10.1,21.4,19.07,lowE,cortex
30F,24.2505,11.6,19.5,20.92,highE,cortex
31F,63.1233,21,22.5,19.51,highE,cortex
32F,70.8384,25.8,21.2,20.71,lowE,cortex
33F,55.0222,22.1,21.8,20.14,lowE,cortex
34F,53.5313,25.5,22.2,19.77,highE,cortex
1M,104.7333,3.8,27.2,20.55,male,retina
2M,86.2347,5,30.1,18.57,male,retina
3M,98.7759,4,28.7,19.48,male,retina
4M,88.3202,4,25.8,21.67,male,retina
5M,99.2028,4.3,26.1,20.00,male,retina
6M,97.7141,7,27.3,19.12,male,retina
7M,99.8877,5.2,26.2,19.92,male,retina
8M,119.6988,5.7,23.7,22.03,male,retina
9M,74.6145,5.7,27.2,19.19,male,retina
1F,84.0422,5.2,22,19.09,highE,retina
3F,56.5895,4.8,19.9,21.10,lowE,retina
5F,39.99,5.4,19.9,21.31,highE,retina
6F,89.9399,5.2,21.4,19.81,lowE,retina
7F,67.064,4.7,23.2,18.28,highE,retina
8F,95.7628,6,20.2,20.99,lowE,retina
11F,94.9356,4.9,20.6,19.81,highE,retina
12F,69.1372,4.4,22.3,19.10,highE,retina
13F,110.8945,4.2,19.3,22.07,highE,retina
14F,95.2281,4.1,22.1,19.28,highE,retina
15F,120.8068,4.7,21.1,20.19,highE,retina
16F,97.8027,5,21.6,19.72,highE,retina
18F,84.9179,4.9,21.3,20.38,highE,retina
19F,51.9343,4.7,22.9,18.95,highE,retina
20F,119.3678,3.8,20.9,20.77,highE,retina
21F,117.5767,5.3,20.4,21.27,highE,retina
22F,77.379,5.1,23.2,18.71,highE,retina
24F,114.9038,5,21.2,20.47,highE,retina
25F,93.1777,5.4,20.3,21.38,highE,retina
26F,61.581,4,21.7,20.00,highE,retina
27F,80.2655,4.3,21.1,19.34,lowE,retina
28F,125.57,3.6,19.6,20.82,lowE,retina
29F,112.1923,5.3,21.4,19.07,lowE,retina
30F,107.6408,4.8,19.5,20.92,highE,retina
31F,146.1486,4.1,22.5,19.51,highE,retina
32F,100.0052,4,21.2,20.71,lowE,retina
33F,104.3988,5.2,21.8,20.14,lowE,retina
34F,107.5554,3.5,22.2,19.77,highE,retina
